customer_id,age,gender,location,membership_start_date,average_purchase_value,purchase_frequency_per_month,last_purchase_date,product_preference,preferred_channel,store_visit_frequency,days_since_last_visit,product_segment,,Mobile
CUST1014,37,Other,Mortonside,27-07-2020,312.31,1.7,04-02-2022,Gym Gear,In-Store,19,4,Casual Gym-Goer,,9.18281E+11
CUST1015,25,Female,New Stephanie,09-03-2023,134.94,2.6,07-12-2024,Training Wear,In-Store,2,17,General Buyer,,9.18281E+11
CUST1016,52,Male,Ramirezstad,21-06-2022,336.68,9.5,09-08-2023,Gym Gear,Online,16,108,Casual Gym-Goer,,9.18281E+11
CUST1017,31,Other,North Matthewberg,17-09-2021,370.37,2.2,22-01-2025,Supplements,Online,20,132,Fitness Enthusiast,,9.18281E+11
CUST1018,46,Male,South Patrickmouth,11-04-2021,127.85,3.5,26-11-2022,Training Wear,In-Store,18,18,Casual Gym-Goer,,9.18281E+11
CUST1019,63,Other,Lake Roberto,08-09-2020,129.89,9.1,09-09-2024,Supplements,In-Store,16,171,Health Conscious Buyer,,9.18281E+11
CUST1020,49,Male,East Nicholasfurt,02-04-2022,83.51,9.4,06-02-2023,Training Wear,Online,7,104,General Buyer,,9.18281E+11
CUST1021,30,Male,New Kellystad,10-04-2024,336.31,3.7,06-01-2025,Yoga Accessories,Online,1,165,General Buyer,,9.18281E+11
CUST1022,24,Male,New Jeffrey,15-12-2022,369.54,8,03-12-2023,Running Shoes,In-Store,6,114,Marathon Trainer,,9.18281E+11
CUST1023,26,Female,Adamsborough,03-04-2022,153.7,2.6,09-05-2022,Running Shoes,Online,17,166,Casual Gym-Goer,,9.18281E+11
CUST1024,52,Male,Herrerafurt,01-01-2022,464.66,8.5,11-09-2023,Gym Gear,Online,15,102,Casual Gym-Goer,,9.18281E+11
CUST1025,21,Male,Samuelhaven,24-02-2023,21.03,4,01-05-2024,Yoga Accessories,Online,13,142,General Buyer,,9.18281E+11
CUST1026,60,Other,Taylorburgh,12-12-2020,94.3,3.1,28-04-2023,Running Shoes,In-Store,10,149,Casual Gym-Goer,,9.18281E+11
CUST1027,48,Other,South Todd,06-05-2023,95.57,9.6,15-09-2024,Running Shoes,In-Store,2,172,Casual Gym-Goer,,9.18281E+11
CUST1028,33,Female,Port Jesseville,09-09-2024,471.97,5.8,11-02-2025,Training Wear,In-Store,19,168,Casual Gym-Goer,,9.18281E+11
CUST1029,55,Other,North Sarabury,01-12-2024,171.86,2.8,03-02-2025,Supplements,In-Store,8,171,Health Conscious Buyer,,9.18281E+11
CUST1030,59,Female,Gomezchester,04-08-2020,171.77,7.6,28-07-2021,Running Shoes,In-Store,14,144,Casual Gym-Goer,,9.18281E+11
CUST1031,24,Male,Port Richard,31-07-2022,122.31,2.8,04-05-2023,Supplements,In-Store,7,40,Health Conscious Buyer,,9.18281E+11
CUST1032,46,Other,Lake Lisaport,13-08-2022,165.21,9.8,11-10-2022,Training Wear,In-Store,17,169,Casual Gym-Goer,,9.18281E+11
CUST1033,24,Male,Lake Nicoleview,12-04-2021,75.41,1.2,25-10-2023,Training Wear,In-Store,8,53,General Buyer,,9.18281E+11
CUST1034,63,Female,West Donald,21-01-2024,350,8.6,15-10-2024,Training Wear,Online,8,13,General Buyer,,9.18281E+11
CUST1035,23,Other,West Elizabeth,10-01-2023,418.09,0.6,17-11-2024,Supplements,In-Store,20,41,Fitness Enthusiast,,9.18281E+11
CUST1036,65,Female,Saramouth,15-09-2024,358.72,5.7,29-10-2024,Running Shoes,In-Store,4,94,Marathon Trainer,,9.18281E+11
CUST1037,55,Other,Jacquelineland,20-08-2023,226.3,0.6,09-11-2024,Supplements,In-Store,11,63,Health Conscious Buyer,,9.18281E+11
CUST1038,60,Male,West Allison,22-12-2021,394.46,8.9,21-01-2023,Yoga Accessories,In-Store,7,45,General Buyer,,9.18281E+11
CUST1039,44,Male,East Lydiamouth,25-09-2020,373.55,3.5,10-06-2024,Yoga Accessories,In-Store,8,179,General Buyer,,9.18281E+11
CUST1040,24,Female,Lake Debra,16-05-2020,432.12,2.4,17-10-2024,Yoga Accessories,Online,9,58,General Buyer,,9.18281E+11
CUST1041,32,Male,Stewartland,08-12-2024,112.7,3.4,20-04-2025,Running Shoes,Online,11,102,Casual Gym-Goer,,9.18281E+11
CUST1042,61,Other,North John,13-01-2022,470.83,1.3,01-08-2023,Supplements,In-Store,18,67,Fitness Enthusiast,,9.18281E+11
CUST1043,20,Male,North Susan,10-01-2024,228.59,7.3,04-03-2024,Supplements,Online,19,29,Health Conscious Buyer,,9.18281E+11
CUST1044,42,Other,Jasonfort,02-03-2023,142.27,7.1,01-07-2024,Running Shoes,In-Store,11,170,Casual Gym-Goer,,9.18281E+11
CUST1045,39,Other,New Mariotown,02-06-2021,338.43,1.4,24-06-2024,Supplements,Online,13,178,Fitness Enthusiast,,9.18281E+11
CUST1046,36,Other,Ramirezstad,30-11-2022,112.08,6.7,25-01-2025,Yoga Accessories,In-Store,19,103,General Buyer,,9.18281E+11
CUST1047,53,Male,East Nathaniel,27-12-2022,157.72,4.4,21-09-2024,Training Wear,Online,14,172,Casual Gym-Goer,,9.18281E+11
CUST1048,31,Other,North Richardmouth,18-02-2023,400.99,9.6,04-11-2024,Gym Gear,In-Store,9,162,General Buyer,,9.18281E+11
CUST1049,57,Female,Herrerafurt,15-11-2022,412.84,7.6,25-03-2025,Supplements,In-Store,6,11,Fitness Enthusiast,,9.18281E+11
CUST1050,33,Female,South David,10-06-2021,427.87,0.9,04-04-2022,Yoga Accessories,In-Store,12,62,General Buyer,,9.18281E+11
CUST1051,27,Other,East Mikeburgh,08-12-2023,22.66,7.6,07-05-2025,Running Shoes,Online,7,178,Casual Gym-Goer,,9.18281E+11
CUST1052,51,Female,Lisatown,01-08-2023,287.55,9.2,08-01-2025,Running Shoes,Online,4,170,Marathon Trainer,,9.18281E+11
CUST1053,51,Other,North Susan,02-11-2021,172.3,7.6,15-06-2024,Yoga Accessories,Online,17,40,General Buyer,,9.18281E+11
CUST1054,65,Female,Leeville,14-03-2025,144.41,2.6,12-04-2025,Supplements,Online,20,112,Health Conscious Buyer,,9.18281E+11
CUST1055,22,Other,Teresaburgh,24-10-2023,132.56,3.5,22-12-2024,Training Wear,In-Store,4,98,General Buyer,,9.18281E+11
CUST1056,62,Male,Lake Lisaport,12-05-2020,122.7,4.3,12-12-2022,Supplements,Online,13,107,Health Conscious Buyer,,9.18281E+11
CUST1057,42,Other,Bassport,19-10-2022,29.38,8.8,10-09-2023,Training Wear,Online,15,90,Casual Gym-Goer,,9.18281E+11
CUST1058,37,Female,North Micheleland,06-01-2024,278.35,7.4,31-03-2025,Training Wear,In-Store,15,111,Casual Gym-Goer,,9.18281E+11
CUST1059,49,Male,Martinezbury,06-02-2023,181.34,6.9,28-01-2025,Yoga Accessories,In-Store,14,159,General Buyer,,9.18281E+11
CUST1060,52,Male,West Andrewside,12-02-2024,304.11,6.7,20-01-2025,Running Shoes,Online,4,46,Marathon Trainer,,9.18281E+11
CUST1061,21,Female,Samuelhaven,05-03-2022,177.13,4.7,07-05-2024,Supplements,Online,8,107,Health Conscious Buyer,,9.18281E+11
CUST1062,34,Male,North Richardmouth,20-05-2024,29.3,5.5,24-03-2025,Supplements,In-Store,20,166,Health Conscious Buyer,,9.18281E+11
CUST1063,20,Male,South Patrickmouth,20-10-2021,115.69,0.4,08-08-2024,Gym Gear,In-Store,4,29,General Buyer,,9.18281E+11
CUST1064,54,Male,Shieldston,29-01-2021,355.74,7.7,29-06-2023,Gym Gear,In-Store,5,27,General Buyer,,9.18281E+11
CUST1065,55,Male,New Stephanie,28-09-2024,296.38,9.1,05-02-2025,Yoga Accessories,Online,6,176,General Buyer,,9.18281E+11
CUST1066,58,Male,Lake Chad,25-02-2021,354.65,3.2,19-08-2024,Training Wear,In-Store,18,88,Casual Gym-Goer,,9.18281E+11
CUST1067,52,Female,Stewartland,10-05-2022,197.87,5.2,20-03-2025,Supplements,In-Store,13,27,Health Conscious Buyer,,9.18281E+11
CUST1068,45,Female,Sarahborough,31-12-2022,447.96,4.7,14-12-2023,Gym Gear,Online,5,166,General Buyer,,9.18281E+11
CUST1069,35,Other,Port Richard,19-01-2022,391.83,4.8,04-09-2022,Training Wear,Online,10,22,General Buyer,,9.18281E+11
CUST1070,35,Female,South Patrickmouth,25-07-2020,380.23,5.8,15-12-2020,Yoga Accessories,Online,0,83,General Buyer,,9.18281E+11
CUST1071,29,Female,Juliechester,10-06-2022,190.32,2.7,17-06-2024,Supplements,Online,17,48,Health Conscious Buyer,,9.18281E+11
CUST1072,23,Male,West Juan,23-12-2020,215.09,5.6,06-11-2024,Gym Gear,Online,20,114,Casual Gym-Goer,,9.18281E+11
CUST1073,19,Male,Port Colleenhaven,19-11-2023,126.37,7,22-03-2025,Supplements,Online,15,88,Health Conscious Buyer,,9.18281E+11
CUST1074,45,Other,Saramouth,03-04-2025,178.78,7.1,12-04-2025,Supplements,Online,8,49,Health Conscious Buyer,,9.18281E+11
CUST1075,38,Male,North Cynthiaview,16-08-2023,277.21,7.7,02-09-2024,Gym Gear,In-Store,6,70,General Buyer,,9.18281E+11
CUST1076,64,Other,Evanmouth,04-10-2023,271.83,3,10-04-2024,Running Shoes,In-Store,9,45,Casual Gym-Goer,,9.18281E+11
CUST1077,37,Male,Lake Lisaport,12-08-2021,276.38,2.9,27-05-2024,Running Shoes,Online,4,125,Casual Gym-Goer,,9.18281E+11
CUST1078,24,Male,North Beth,28-05-2020,156.48,4.9,24-04-2021,Supplements,In-Store,1,122,Health Conscious Buyer,,9.18281E+11
CUST1079,25,Male,New Jeffrey,22-12-2023,256.04,5.9,08-06-2024,Running Shoes,In-Store,4,77,Marathon Trainer,,9.18281E+11
CUST1080,23,Male,Port Jesseville,08-11-2021,287.88,4.3,10-04-2025,Training Wear,In-Store,16,113,Casual Gym-Goer,,9.18281E+11
CUST1081,37,Other,West Elizabeth,06-10-2024,166.58,6.3,04-04-2025,Training Wear,In-Store,6,67,General Buyer,,9.18281E+11
CUST1082,60,Male,South Noah,14-10-2020,135.14,5.6,27-11-2022,Gym Gear,In-Store,13,152,Casual Gym-Goer,,9.18281E+11
CUST1083,48,Female,Lake Debra,23-05-2021,131.11,7.1,02-05-2023,Yoga Accessories,In-Store,7,160,General Buyer,,9.18281E+11
CUST1084,55,Other,Wilkersonmouth,29-06-2021,224.07,5.5,24-11-2024,Gym Gear,Online,4,42,General Buyer,,9.18281E+11
CUST1085,37,Other,North Cynthiaview,23-04-2024,415.64,9.2,07-01-2025,Yoga Accessories,In-Store,14,179,General Buyer,,9.18281E+11
CUST1086,43,Female,Mortonside,16-11-2024,279.19,4.5,04-03-2025,Training Wear,In-Store,13,154,Casual Gym-Goer,,9.18281E+11
CUST1087,34,Male,Herrerafurt,21-01-2023,129.88,6.8,08-12-2024,Training Wear,In-Store,8,44,General Buyer,,9.18281E+11
CUST1088,48,Other,Lake Debbie,26-08-2024,232.27,2.9,07-02-2025,Training Wear,Online,20,23,Casual Gym-Goer,,9.18281E+11
CUST1089,48,Female,Lake Crystalbury,07-01-2025,179.99,6.8,03-04-2025,Gym Gear,Online,13,73,Casual Gym-Goer,,9.18281E+11
CUST1090,60,Female,Evanmouth,17-09-2021,284.05,4.7,15-11-2024,Supplements,Online,10,103,Health Conscious Buyer,,9.18281E+11
CUST1091,50,Male,Stewartland,24-05-2024,437.3,4.7,14-11-2024,Running Shoes,In-Store,16,127,Casual Gym-Goer,,9.18281E+11
CUST1092,58,Female,Evanmouth,25-07-2022,44.77,2.8,13-08-2023,Gym Gear,Online,14,124,Casual Gym-Goer,,9.18281E+11
CUST1093,25,Male,South Dianeshire,19-09-2022,312.26,2.5,06-12-2024,Gym Gear,Online,17,104,Casual Gym-Goer,,9.18281E+11
CUST1094,23,Male,Port Keith,24-06-2024,241.49,1.4,22-02-2025,Gym Gear,Online,9,69,General Buyer,,9.18281E+11
CUST1095,44,Female,North Richardmouth,24-05-2022,136.99,5.6,24-07-2023,Yoga Accessories,In-Store,19,34,General Buyer,,9.18281E+11
CUST1096,22,Female,Hoffmanville,06-02-2024,399.2,4.3,06-04-2024,Training Wear,Online,0,76,General Buyer,,9.18281E+11
CUST1097,55,Other,Stewartland,15-10-2022,255.03,1.7,14-10-2023,Training Wear,Online,11,139,Casual Gym-Goer,,9.18281E+11
CUST1098,42,Female,West Natashaport,02-09-2022,437.41,9.8,05-02-2024,Gym Gear,Online,7,105,General Buyer,,9.18281E+11
CUST1099,20,Female,North Cynthiaview,29-01-2023,247.03,9.2,03-06-2023,Yoga Accessories,Online,20,126,General Buyer,,9.18281E+11
CUST1100,20,Male,Mortonside,14-07-2021,483.37,3.5,05-03-2022,Running Shoes,Online,3,116,Casual Gym-Goer,,9.18281E+11
CUST1101,18,Other,Jacquelineland,29-04-2022,216.79,6.6,15-12-2023,Gym Gear,In-Store,15,67,Casual Gym-Goer,,9.18281E+11
CUST1102,39,Other,East Mikeburgh,28-08-2021,210.79,1,29-08-2024,Supplements,Online,10,124,Health Conscious Buyer,,9.18281E+11
CUST1103,52,Male,New Brooke,06-03-2022,52.84,6.4,13-06-2022,Supplements,In-Store,2,25,Health Conscious Buyer,,9.18281E+11
CUST1104,58,Other,New Kellystad,20-11-2023,232.97,7,01-10-2024,Running Shoes,In-Store,10,75,Casual Gym-Goer,,9.18281E+11
CUST1105,40,Female,New David,05-03-2023,89.87,5.4,25-02-2025,Training Wear,In-Store,5,156,General Buyer,,9.18281E+11
CUST1106,42,Other,Davidstad,23-11-2023,135.6,9.1,10-01-2024,Gym Gear,In-Store,14,117,Casual Gym-Goer,,9.18281E+11
CUST1107,34,Other,East Jill,12-02-2022,451.48,4.8,26-11-2023,Supplements,In-Store,2,88,Fitness Enthusiast,,9.18281E+11
CUST1108,55,Female,Sarahborough,03-09-2023,481.77,7,22-04-2025,Yoga Accessories,Online,6,123,General Buyer,,9.18281E+11
CUST1109,24,Male,Samuelhaven,10-07-2020,294.52,5.8,04-10-2023,Supplements,In-Store,12,144,Health Conscious Buyer,,9.18281E+11
CUST1110,61,Other,Lisatown,31-05-2024,457.1,7.5,02-06-2024,Supplements,In-Store,19,56,Fitness Enthusiast,,9.18281E+11
CUST1111,58,Male,New Brooke,08-05-2023,140.3,7.6,25-12-2023,Gym Gear,In-Store,20,79,Casual Gym-Goer,,9.18281E+11
CUST1112,46,Male,Lake Leeton,04-09-2023,195.13,1.5,25-07-2024,Supplements,Online,13,33,Health Conscious Buyer,,9.18281E+11
CUST1113,52,Female,South Todd,08-12-2024,260.86,2.9,02-05-2025,Gym Gear,Online,15,75,Casual Gym-Goer,,9.18281E+11
CUST1114,65,Female,Port Keith,01-01-2025,244.8,0.9,28-04-2025,Gym Gear,Online,17,101,Casual Gym-Goer,,9.18281E+11
CUST1115,18,Female,Port Richard,27-03-2022,79.32,3.8,23-04-2024,Supplements,Online,20,27,Health Conscious Buyer,,9.18281E+11
CUST1116,61,Male,North Richardmouth,23-03-2022,32.01,8.9,20-05-2023,Training Wear,Online,19,16,Casual Gym-Goer,,9.18281E+11
CUST1117,58,Female,Bassport,25-01-2024,165.05,4.2,05-02-2025,Gym Gear,In-Store,1,126,General Buyer,,9.18281E+11
CUST1118,25,Male,East Courtneychester,09-08-2020,445.88,1.5,30-11-2023,Yoga Accessories,Online,17,39,General Buyer,,9.18281E+11
CUST1119,44,Other,New Kellystad,21-03-2023,420.17,6.2,08-12-2024,Supplements,In-Store,11,113,Fitness Enthusiast,,9.18281E+11
CUST1120,33,Female,New Kellystad,05-10-2021,490.85,3.8,02-05-2025,Supplements,In-Store,12,31,Fitness Enthusiast,,9.18281E+11
CUST1121,47,Male,Stewartland,02-05-2024,121.81,6.5,24-04-2025,Running Shoes,In-Store,10,32,Casual Gym-Goer,,9.18281E+11
CUST1122,54,Male,Ericmouth,11-06-2021,418.31,5.6,02-02-2024,Training Wear,In-Store,7,37,General Buyer,,9.18281E+11
CUST1123,56,Male,South Aaron,25-11-2024,432.03,1.6,30-11-2024,Gym Gear,Online,5,6,General Buyer,,9.18281E+11
CUST1124,26,Male,West Allison,17-09-2023,399.19,2.5,19-12-2024,Supplements,In-Store,5,32,Fitness Enthusiast,,9.18281E+11
CUST1125,65,Female,South Todd,27-02-2025,74.55,0.8,02-05-2025,Yoga Accessories,Online,16,115,General Buyer,,9.18281E+11
CUST1126,50,Male,South David,03-08-2020,40.82,7.9,20-04-2021,Training Wear,Online,14,7,Casual Gym-Goer,,9.18281E+11
CUST1127,21,Female,New Jeffrey,02-01-2024,224.61,1.3,16-04-2024,Yoga Accessories,In-Store,2,37,General Buyer,,9.18281E+11
CUST1128,22,Male,South Aaron,14-04-2024,319.67,5.9,02-09-2024,Supplements,Online,19,116,Fitness Enthusiast,,9.18281E+11
CUST1129,50,Other,New David,14-10-2020,67.61,7.1,31-12-2022,Training Wear,In-Store,13,58,Casual Gym-Goer,,9.18281E+11
CUST1130,44,Female,Gomezchester,01-08-2023,211.39,7.4,11-04-2024,Supplements,Online,10,95,Health Conscious Buyer,,9.18281E+11
CUST1131,27,Other,North Richardmouth,27-02-2022,52.22,8.4,03-02-2024,Running Shoes,Online,3,95,Casual Gym-Goer,,9.18281E+11
CUST1132,26,Other,Lake Roberto,20-02-2023,301.5,5.7,28-07-2024,Supplements,In-Store,13,170,Fitness Enthusiast,,9.18281E+11
CUST1133,45,Other,Lisatown,01-08-2023,484.83,6.1,04-03-2024,Supplements,In-Store,18,39,Fitness Enthusiast,,9.18281E+11
CUST1134,60,Female,Coxberg,11-12-2023,426.69,3.6,23-06-2024,Training Wear,Online,3,146,General Buyer,,9.18281E+11
CUST1135,32,Female,Rodneyside,20-01-2021,487.78,8.2,20-01-2025,Training Wear,In-Store,19,177,Casual Gym-Goer,,9.18281E+11
CUST1136,35,Male,Adamsborough,10-07-2020,151.17,7.7,09-02-2025,Supplements,Online,0,36,Health Conscious Buyer,,9.18281E+11
CUST1137,54,Other,New Jeffrey,19-10-2020,53.4,7.5,11-10-2023,Running Shoes,In-Store,16,107,Casual Gym-Goer,,9.18281E+11
CUST1138,47,Female,South Noah,07-04-2022,197.63,7.3,10-01-2025,Training Wear,In-Store,1,158,General Buyer,,9.18281E+11
CUST1139,21,Other,Cassandraton,10-12-2020,150.61,6.7,14-04-2021,Yoga Accessories,Online,13,131,General Buyer,,9.18281E+11
CUST1140,25,Female,New David,15-08-2020,73.23,6.8,22-09-2022,Training Wear,Online,16,11,Casual Gym-Goer,,9.18281E+11
CUST1141,32,Female,North Susan,20-01-2022,46.3,2.2,20-02-2022,Gym Gear,In-Store,8,30,General Buyer,,9.18281E+11
CUST1142,18,Female,North Cynthiaview,27-08-2021,226.71,1.5,01-09-2022,Training Wear,In-Store,16,171,Casual Gym-Goer,,9.18281E+11
CUST1143,40,Male,West Andrewside,07-06-2021,433.65,0.6,12-06-2023,Running Shoes,Online,2,147,Casual Gym-Goer,,9.18281E+11
CUST1144,45,Other,New Jeffrey,01-05-2021,360.56,4.3,24-09-2023,Running Shoes,Online,0,43,Casual Gym-Goer,,9.18281E+11
CUST1145,57,Female,East Mikeburgh,19-03-2022,461.49,1.1,10-03-2024,Running Shoes,In-Store,13,134,Casual Gym-Goer,,9.18281E+11
CUST1146,23,Female,New Stephanie,16-07-2022,377.99,2.4,09-02-2024,Gym Gear,In-Store,16,135,Casual Gym-Goer,,9.18281E+11
CUST1147,50,Male,Lake Rebeccaside,14-10-2021,187.7,7.3,12-05-2024,Gym Gear,In-Store,3,50,General Buyer,,9.18281E+11
CUST1148,29,Other,New Jessica,01-05-2021,384.9,6.6,21-08-2024,Gym Gear,Online,14,148,Casual Gym-Goer,,9.18281E+11
CUST1149,46,Other,Mooreport,01-10-2021,328.64,9.9,27-01-2023,Supplements,Online,4,120,Fitness Enthusiast,,9.18281E+11
CUST1150,46,Other,East Nathaniel,11-04-2021,402.24,6,26-09-2023,Supplements,In-Store,9,9,Fitness Enthusiast,,9.18281E+11
CUST1151,21,Female,Teresaburgh,29-07-2020,56.83,8.7,25-03-2023,Running Shoes,Online,14,10,Casual Gym-Goer,,9.18281E+11
CUST1152,46,Other,Lake Debbie,03-04-2025,110.35,6.1,05-05-2025,Training Wear,In-Store,1,87,General Buyer,,9.18281E+11
CUST1153,63,Male,Mortonside,21-07-2023,330.14,0.6,24-05-2024,Yoga Accessories,Online,16,40,General Buyer,,9.18281E+11
CUST1154,41,Female,Teresaburgh,17-01-2022,205.96,7.8,15-05-2022,Training Wear,In-Store,20,16,Casual Gym-Goer,,9.18281E+11
CUST1155,39,Male,Rodneyside,04-06-2022,345.62,3,09-11-2022,Training Wear,In-Store,10,169,General Buyer,,9.18281E+11
CUST1156,27,Female,New Stephanie,03-12-2022,484.49,7,09-06-2023,Yoga Accessories,In-Store,19,21,General Buyer,,9.18281E+11
CUST1157,37,Other,Samuelhaven,04-03-2025,328.88,3.4,07-03-2025,Gym Gear,In-Store,20,130,Casual Gym-Goer,,9.18281E+11
CUST1158,41,Male,Brandtside,24-04-2023,168.26,9.5,10-06-2024,Supplements,Online,6,35,Health Conscious Buyer,,9.18281E+11
CUST1159,27,Male,Port Colleenhaven,01-01-2024,425.33,1.2,14-10-2024,Training Wear,In-Store,10,158,General Buyer,,9.18281E+11
CUST1160,26,Other,Samuelhaven,11-12-2020,94.04,2,31-03-2025,Training Wear,In-Store,14,93,Casual Gym-Goer,,9.18281E+11
CUST1161,61,Other,East Courtneychester,06-04-2023,485.4,6.2,15-04-2023,Yoga Accessories,In-Store,17,120,General Buyer,,9.18281E+11
CUST1162,30,Female,North Amandahaven,07-12-2023,474.62,9.8,21-12-2024,Yoga Accessories,Online,12,107,General Buyer,,9.18281E+11
CUST1163,28,Male,Port Jacobland,03-04-2021,86.43,2.7,05-02-2023,Yoga Accessories,Online,17,132,General Buyer,,9.18281E+11
CUST1164,25,Female,Cassandraton,10-06-2023,386.3,2.9,15-10-2024,Training Wear,In-Store,13,56,Casual Gym-Goer,,9.18281E+11
CUST1165,46,Female,East Jessetown,08-04-2024,219.15,4.1,04-08-2024,Supplements,In-Store,12,95,Health Conscious Buyer,,9.18281E+11
CUST1166,32,Male,New Mariotown,24-01-2024,466.8,8.4,08-06-2024,Supplements,In-Store,4,120,Fitness Enthusiast,,9.18281E+11
CUST1167,62,Male,Evanmouth,18-10-2024,358.66,4.6,30-01-2025,Running Shoes,In-Store,0,38,Casual Gym-Goer,,9.18281E+11
CUST1168,53,Other,Port Jacobland,08-12-2024,273.33,1.3,07-05-2025,Supplements,In-Store,9,61,Health Conscious Buyer,,9.18281E+11
CUST1169,44,Other,New Brooke,21-06-2024,239.41,1.3,18-12-2024,Yoga Accessories,In-Store,20,61,General Buyer,,9.18281E+11
CUST1170,63,Male,Port Colleenhaven,24-01-2024,226.03,6.2,28-04-2025,Gym Gear,Online,5,21,General Buyer,,9.18281E+11
CUST1171,51,Female,Ericmouth,22-08-2022,477.63,5.5,04-01-2024,Training Wear,In-Store,12,11,Casual Gym-Goer,,9.18281E+11
CUST1172,58,Female,Lake Larry,12-06-2022,141.75,0.4,24-10-2022,Running Shoes,Online,7,160,Casual Gym-Goer,,9.18281E+11
CUST1173,24,Other,Williamview,24-09-2022,383.21,1.5,24-08-2024,Supplements,Online,20,175,Fitness Enthusiast,,9.18281E+11
CUST1174,47,Other,East Jamesside,07-06-2022,323.23,8.2,28-05-2024,Running Shoes,Online,1,11,Marathon Trainer,,9.18281E+11
CUST1175,30,Male,New Mariotown,16-03-2025,468.02,5.3,21-04-2025,Training Wear,Online,8,165,General Buyer,,9.18281E+11
CUST1176,30,Female,West Allison,22-03-2023,433.83,0.7,05-05-2023,Supplements,Online,3,111,Fitness Enthusiast,,9.18281E+11
CUST1177,43,Other,Sanchezfort,24-07-2024,449.43,4,27-11-2024,Gym Gear,Online,15,132,Casual Gym-Goer,,9.18281E+11
CUST1178,35,Male,Lake Matthew,26-11-2021,223.76,4.4,23-12-2023,Gym Gear,Online,10,83,General Buyer,,9.18281E+11
CUST1179,60,Female,New Stephanie,01-03-2022,234.04,7.2,03-09-2023,Gym Gear,Online,11,90,Casual Gym-Goer,,9.18281E+11
CUST1180,57,Female,South Aaron,22-07-2022,326.95,8,01-01-2024,Running Shoes,In-Store,20,131,Casual Gym-Goer,,9.18281E+11
CUST1181,65,Other,South Noah,26-09-2022,477.34,1.6,09-04-2025,Training Wear,Online,1,60,General Buyer,,9.18281E+11
CUST1182,59,Female,Brandtside,16-09-2022,203.77,5.8,26-01-2025,Training Wear,In-Store,14,95,Casual Gym-Goer,,9.18281E+11
CUST1183,46,Male,North Beth,11-06-2020,86.09,3.8,02-11-2024,Supplements,Online,7,6,Health Conscious Buyer,,9.18281E+11
CUST1184,65,Male,Stevenland,25-12-2021,268.52,9.2,06-05-2022,Running Shoes,Online,8,54,Marathon Trainer,,9.18281E+11
CUST1185,57,Female,East Mikeburgh,30-05-2022,459.91,5,20-02-2024,Running Shoes,In-Store,2,113,Casual Gym-Goer,,9.18281E+11
CUST1186,23,Other,New Mariotown,06-07-2024,340.56,7.2,06-02-2025,Training Wear,Online,9,179,General Buyer,,9.18281E+11
CUST1187,58,Male,Brandtside,27-05-2022,264.2,1.4,03-05-2025,Gym Gear,In-Store,7,6,General Buyer,,9.18281E+11
CUST1188,41,Other,North Beth,29-05-2024,197.08,8.1,03-02-2025,Training Wear,In-Store,19,16,Casual Gym-Goer,,9.18281E+11
CUST1189,37,Female,East Josephville,13-07-2024,365.06,5.4,03-01-2025,Yoga Accessories,In-Store,4,164,General Buyer,,9.18281E+11
